Meas 1 xValues MR,Meas 2 xValues MR,Meas 3 xValues MR,Meas 4 xValues MR,Meas 5 xValues MR,Meas 6 xValues MR,Meas 7 xValues MR,Meas 8 xValues MR,Meas 9 xValues MR,Meas 10 xValues MR,Meas 11 xValues MR,Meas 12 xValues MR,Meas 13 xValues MR,Meas 14 xValues MR,Meas 15 xValues MR,Meas 16 xValues MR,Meas 17 xValues MR,Meas 18 xValues MR,Meas 19 xValues MR,Meas 20 xValues MR,Meas 21 xValues MR,Meas 22 xValues MR,Meas 23 xValues MR,Meas 24 xValues MR,Meas 25 xValues MR,Meas 26 xValues MR,Meas 27 xValues MR,Meas 28 xValues MR,Meas 29 xValues MR,Meas 30 xValues MR,Meas 31 xValues MR,Meas 32 xValues MR
0.9300570771536723,0.9312445187278897,0.9310373364856106,0.9299166313523366,0.927528371228078,0.924338079167687,0.922251727151265,0.9201894364721092,0.9191584277804303,0.9186874774976508,0.920142793178805,0.921215862926834,0.9229482235706274,0.9247251041737945,0.9265159955544736,0.9278344668167336,0.9284934773905296,0.9287631217683183,0.9283144742422517,0.9273263917481268,0.9265486902184474,0.9258964667513273,0.9252128730812981,0.9248262901520443,0.9250232129701926,0.9247172986776618,0.9249459724746382,0.9255857602793671,0.9260119796267904,0.9264208343603516,0.9262340893291997,0.9258898913050222
1.1794604696589834,1.1809663346550388,1.1807035945815678,1.179282362019276,1.1762536678917646,1.172207869559243,1.1695620429862184,1.166946730020207,1.1656392468284964,1.1650420068790803,1.1668875788971433,1.1682484022058166,1.1704453113512212,1.172698678894161,1.1749698143339646,1.1766418458387151,1.1774775761825542,1.177819528189888,1.17725057168732,1.1759975257493773,1.1750112763739546,1.1741841531621122,1.173317247537808,1.172826998826734,1.1730767283167676,1.1726887802821717,1.1729787750691647,1.1737901278809264,1.1743306418816672,1.1748491347870105,1.1746123123515284,1.174175814449169
1.4957438183938196,1.4976534951630942,1.4973202988832288,1.4955179495258466,1.491677082760434,1.4865463657911009,1.483191036093372,1.479874402511572,1.4782163054816473,1.4774589100577082,1.4797993894620045,1.481525130259797,1.4843111611258948,1.4871687902365132,1.490048951871607,1.492169354251954,1.493229193498625,1.4936628431327705,1.4929413156263023,1.4913522537085397,1.490101532345144,1.4890526083133613,1.4879532338433894,1.4873315203583444,1.4876482171452206,1.4871562372192018,1.4875239968187555,1.4885529214702786,1.489238379352218,1.4898959109762089,1.4895955823911977,1.4890420334966046
1.8968412916401893,1.8992630658137477,1.8988405198843599,1.8965548539561428,1.891684023412349,1.8851774574593636,1.880922365217329,1.876716345810908,1.874613614799601,1.8736531168208967,1.8766212173216026,1.878809731399793,1.8823428620880902,1.8859667907492395,1.8896192942387142,1.892308302035687,1.8936523469321886,1.8942022837074817,1.8932872719584826,1.8912720884601335,1.8896859746502346,1.8883557719839676,1.8869615901301147,1.886173158451173,1.8865747803966486,1.8859508715247855,1.886417249246192,1.8877220895142879,1.888591359236919,1.8894252140184715,1.8890443495588605,1.8883423614327566
2.4054967445769915,2.4085679397878246,2.4080320842779,2.405133495991285,2.3989565074007686,2.3907051458940036,2.385309011498786,2.379975109271771,2.3773085115839665,2.376090447230808,2.3798544712023926,2.3826298554761056,2.3871104276812347,2.391706146171439,2.396338102093218,2.3997481920834915,2.4014526549910364,2.4021500623748384,2.400989681802585,2.3984341082992207,2.3964226634708865,2.3947357547150325,2.3929677101635076,2.391967853272278,2.3924771738393966,2.39168595806041,2.3922773992608577,2.3939321444580077,2.395034516858463,2.3960919774753924,2.3956089807050476,2.3947187480010688
3.0505529269118936,3.0544476915008065,3.0537681413838147,3.0500922698609867,3.0422588646955955,3.031794824346251,3.0249516666448524,3.0181874292426754,3.0148057587416583,3.0132610591755205,3.0180344409601227,3.0215540701754056,3.0272361492243216,3.0330642520987743,3.038938309806965,3.0432628469423046,3.045424377330215,3.046308800949039,3.0448372536027373,3.0415963794472423,3.039045547099524,3.0369062781713065,3.034664116133996,3.033396138377256,3.034042037961308,3.033038650359205,3.033788691983327,3.0358871723973366,3.037285156144493,3.038626184598321,3.0380136677804175,3.0368847109498267
3.8685869191632416,3.8735261009125455,3.8726643231442206,3.8680027326619557,3.8580687274237593,3.8447986578373747,3.8361204440827943,3.8275423138358735,3.8232538171014805,3.821294892054522,3.827348300329847,3.831811750684184,3.8390175318028676,3.846408494386975,3.8538577350186793,3.859341936799157,3.862083101559904,3.863204691555146,3.8613385351726066,3.8572285906264896,3.85399372898344,3.851280795298774,3.848437376765805,3.8468293790417727,3.847648482575402,3.8463760273040632,3.84732719952937,3.849988406882352,3.8517612729059967,3.853461910547434,3.8526851416775667,3.8512534446273063
4.905983844637979,4.912247513097329,4.911154641747295,4.905243003189292,4.892645103690195,4.8758165437099255,4.864811187653586,4.853932753411841,4.848494257098757,4.8460100284038745,4.853686713411682,4.85934707875626,4.86848515591336,4.87785807263764,4.887304895200403,4.894259735791545,4.897735968925948,4.899158323525172,4.896791740259598,4.891579676535315,4.887477357189244,4.884036925551889,4.88043101836206,4.8783918213577895,4.879430574987226,4.8778168992098285,4.879023136957184,4.882397971374447,4.884646247619094,4.886802926780972,4.885817860242152,4.884002240547994
6.221569268549393,6.229512598252295,6.22812666323474,6.220629763541635,6.204653619539954,6.183312323905314,6.169355778755987,6.155560190692167,6.148663310759392,6.145512912920022,6.1552481727662425,6.162426417985105,6.1740149559450055,6.185901307897058,6.197881384228977,6.206701230331162,6.211109647872723,6.212913420152401,6.209912215463836,6.203302488135002,6.198100093512119,6.193737077973675,6.189164213066669,6.186578186325438,6.187895491449782,6.185849093429733,6.187378795103683,6.191658622914333,6.194509795448503,6.197244808286005,6.195995586947435,6.193693091861786
7.889940459298971,7.900013866135618,7.898256279858431,7.88874901735684,7.868488722967826,7.8414245620441845,7.823725440569743,7.80623043830805,7.797484096400453,7.793488890319346,7.805834749897052,7.814937907787678,7.8296340191009675,7.844707805975615,7.859900450287158,7.871085419481054,7.876675994852203,7.878963465307725,7.875157459897056,7.86677527321301,7.860177808482077,7.8546448100799955,7.8488456892654,7.845566195598486,7.847236748243515,7.84464158971722,7.846581495005901,7.852008998123607,7.855624738873694,7.859093170632929,7.857508959068873,7.85458902868645
